Velocity2,Rise_In_Insulin,CGM_Difference,Skewness,Variance,Max_Value,Min_Value,Mean_Value,Entropy,RMS,bins,kmeans_bins,dbscan_bins
-5.0,204.53333333333333,0.05172413793103448,-0.08239978166915289,3885.95957193817,244.0,87.0,164.38,3.2920613607509157,183.15,4,3,4
4.0,190.33333333333334,0.15428571428571428,0.6552482613123761,810.5778834720569,202.0,118.0,150.79,3.350027448372465,156.86,2,5,4
-5.0,179.53333333333333,0.0,0.6463963047681764,829.9595719381689,202.0,118.0,150.38,3.3495145613839643,156.03,2,5,4
3.0,90.2,0.5977011494252874,-0.27442881831715576,325.51724137931035,135.0,86.0,112.0,3.354044792635087,111.72,2,1,1
-0.0,162.0,0.022222222222222223,-0.9646927155676226,539.2841854934602,184.0,101.0,158.48,3.3559253288564306,164.99,4,5,4
1.0,163.06666666666666,0.027932960893854747,-0.9605720522523644,685.4435196195005,184.0,92.0,156.07,3.3522423228667897,163.55,2,5,4
-3.0,191.0,0.01904761904761905,-0.5620289747297477,2842.6492271105826,214.0,63.0,150.38,3.296986298665814,167.13,3,5,6
1.0,213.66666666666666,0.12608695652173912,-0.425946158462382,1284.0760998810938,259.0,142.0,208.69,3.3520423797177483,217.95,1,2,4
-1.0,236.4,0.040160642570281124,-0.17821734180258142,1838.1117717003567,259.0,141.0,199.48,3.3436384874312086,209.59,3,2,4
0.0,226.86666666666667,0.06607929515418502,-0.36978475178994313,2114.8085612366226,242.0,109.0,182.86,3.334093830569294,194.55,4,2,4
-5.0,201.86666666666667,0.0,0.027259362868604982,2132.1307966706304,242.0,109.0,174.72,3.3318653421907123,184.98,2,5,4
3.0,121.13333333333334,1.0593220338983051,0.2840761301321221,1907.346016646849,241.0,109.0,169.41,3.3342755526660635,166.09,2,5,6
5.0,218.33333333333334,0.37073170731707317,-0.060492200381682085,1010.2996432818073,281.0,169.0,227.9,3.3574758750546576,232.98,2,2,4
-4.0,258.8,0.029304029304029304,-0.25118853015053,2695.0297265160525,281.0,128.0,207.93,3.334880601338483,222.01,4,2,4
-8.0,216.26666666666665,0.05639097744360902,0.1984643057034782,3317.800237812128,281.0,120.0,191.69,3.322052474152417,207.38,2,3,4
6.0,129.8,0.9907407407407407,0.10209270242253295,2082.9298454221166,215.0,76.0,143.03,3.315418122653726,154.7,3,1,5
6.0,157.26666666666668,0.4726027397260274,0.2584872071638078,1802.3186682520804,215.0,91.0,145.48,3.324844783690271,156.72,1,5,5
1.0,228.06666666666666,0.02510460251046025,0.15092337862238464,968.1379310344828,245.0,157.0,201.0,3.355335899367796,204.92,3,2,4
-6.0,143.46666666666667,0.20689655172413793,0.9099884783099762,692.0737217598098,245.0,157.0,191.17,3.3581483743173446,193.8,4,5,4
0.0,152.93333333333334,0.42771084337349397,0.318112924437886,894.9583828775268,233.0,151.0,190.28,3.3550759095625677,187.82,2,5,4
6.0,178.53333333333333,0.5058139534883721,-0.3058384506807163,1042.0689655172414,255.0,164.0,212.0,3.3554480019599624,209.54,2,2,4
-5.0,173.8,0.03755868544600939,0.15856002158202762,1521.0606420927468,221.0,107.0,164.79,3.3392308762294225,172.25,4,5,4
1.0,229.6,0.032520325203252036,-0.10684495081388928,996.3043995243756,254.0,163.0,212.38,3.3561303662155733,217.48,4,2,4
3.0,182.73333333333332,0.391304347826087,-0.27773282894838164,939.4910820451844,256.0,163.0,214.48,3.356886973930898,211.88,1,2,4
-3.0,196.93333333333334,0.061946902654867256,0.005270291003433724,1182.6944114149824,240.0,141.0,190.17,3.3508149490245893,198.32,4,2,4
-5.0,148.4,0.14465408805031446,0.37667064351926627,793.4720570749109,182.0,93.0,130.9,3.344482175275289,134.51,4,1,4
1.0,202.66666666666666,0.06046511627906977,-0.4658697598195141,962.1569560047564,228.0,142.0,189.66,3.3534804401993514,197.14,4,2,4
3.0,160.66666666666666,0.6903225806451613,0.16290610777437356,1303.6123662306777,259.0,141.0,192.21,3.349631074365173,187.5,1,5,4
4.0,199.66666666666666,0.505,-0.04645762713579505,1370.23305588585,299.0,185.0,244.79,3.3557697539572255,241.36,4,2,4
-3.0,266.3333333333333,0.003389830508474576,-0.24135949106737628,2659.780986319854,296.0,165.0,238.02,3.343139578716425,250.9,4,2,4
2.0,184.33333333333334,0.25263157894736843,-0.05054314934578714,131.26991676575508,226.0,173.0,200.38,3.3656571103839084,198.56,4,2,4
-3.0,185.86666666666667,0.2358490566037736,0.48774182784756864,336.1141498216409,250.0,192.0,217.24,3.3637763692171605,215.32,1,2,4
-1.0,244.2,0.0449438202247191,-0.8949807760075845,141.65041617122478,279.0,233.0,261.93,3.366248337095125,262.83,4,4,4
-5.0,214.46666666666667,0.05241935483870968,-0.54504193936144,3865.5172413793102,261.0,72.0,187.0,3.305839207335639,206.39,4,3,4
4.0,241.0,0.4041666666666667,-0.3678204024264919,1361.0772889417362,337.0,208.0,277.52,3.3582628057369597,276.92,4,4,4
-2.0,280.6,0.013071895424836602,-0.3133924195802739,2218.2996432818068,310.0,190.0,258.1,3.350184718157412,269.08,1,4,4
4.0,304.4,0.26537216828478966,-0.476224642842068,1303.205707491082,391.0,270.0,343.03,3.361643566565984,341.67,4,4,4
-1.0,360.3333333333333,0.015584415584415584,-1.359053616993502,1777.5124851367418,391.0,244.0,347.93,3.359476429425188,359.82,4,4,4
-12.0,251.4,0.05084745762711865,0.6584023832286899,3655.4554102259217,372.0,210.0,274.31,3.343877192062895,287.61,2,4,4
-4.0,222.13333333333333,0.35074626865671643,1.4102396066261689,2066.68252080856,362.0,195.0,245.72,3.351357479848126,254.19,2,2,4
-1.0,180.73333333333332,0.40654205607476634,0.7015625623165708,560.7300832342451,288.0,195.0,231.45,3.362166220251542,226.92,1,2,4
7.0,296.53333333333336,0.24187725631768953,-0.2515904222100014,1091.6313912009514,344.0,250.0,306.24,3.361405724576173,310.38,4,4,4
2.0,197.86666666666667,0.3756345177664975,-0.23205022617383506,810.9417360285374,271.0,155.0,213.76,3.3582573803871543,215.8,1,2,4
